,"scrape_date","product_collections","Brand","Product","Price Per Gram","unit_of_measurement","Product_URL","THC %","CBD %","Prices","availability","product_sku","thc_percent_low_end_of_range","thc_percent_high_end_of_range","cbd_low_end_of_range","cbd_high_end_of_range","grow_method","trimming_method","growing_region","growing_region_cleaned","latitude","longitude","strain_name","plant_type","potency","brand","licensed_producer","long_product_description","Unnamed: 0","terpenes","actual_product_type","product_name_link_markdown"
278,"2023-12-30","Dried Flower","MTL Cannabis","Wes' Coast Kush",7.08,"g","https://ocs.ca/products/wes-coast-kush-mtl-cannabis",33,3,7.08,,628518000635,30,36,0,6,"Indoor",,"Pointe Claire","Pointe Claire",45.4566767,-73.8067442,"Wes' Coast Kush","Indica Dominant","Very Strong","MTL Cannabis","ABBA MEDIX CORP","MTL’S WES` COAST KUSH is an indica-dominant strain. The flower is a hazy light green colour with purple undertones and is covered in white crystal trichomes. The smoke is packed with a sweet, earthy and spice like taste that finally culminates in a diesel after taste.",,"Caryophyllene, Farnasene, Limonene, Linalool, Myrcene","Dried Flower","[10th Planet Pre-Rolls](https://ocs.ca/products/10th-planet-pre-rolls-countryside)"
280,"2023-12-30","Dried Flower","MTL Cannabis","Jungl' Cake",7.08,"g","https://ocs.ca/products/jungl-cake-mtl-cannabis",32.5,3,7.08,,628518000628,29,36,0,6,"Indoor",,"Pointe Claire","Pointe Claire",45.4566767,-73.8067442,"Jungl' Cake","Sativa Dominant","Very Strong","MTL Cannabis","ABBA MEDIX CORP","These Jungl’ Cake buds are lime green with thin, deep orange hairs and a coating of frosty white crystal trichomes. The flavour is sweet with notes of pastry dough, creamy marshmallow and cashews. The aroma is earthy and nutty with a sweet fruity overtone that’s both sugary and spicy.",,"Caryophyllene, Farnasene, Limonene, Linalool, Myrcene","Dried Flower","[ICC + MAC-1 Pre-Roll Combo Pack](https://ocs.ca/products/icc-mac-1-pre-roll-combo-pack-edison-cannabis-co)"
281,"2023-12-30","Dried Flower","Muskoka Grown","Berry Smasher",5.58,"g","https://ocs.ca/products/berry-smasher-muskoka-grown",30,2.5,156.24,"In stock online",628504819685,27,33,0,5,"Hybrid-Greenhouse",,"Southern Ont.",,,,"Early Lemon Berry","Sativa Dominant","Very Strong","Muskoka Grown","Muskoka Grown Limited","Delight your senses with our new and improved Berry Smasher, a high THC sativa leaning hybrid with a strong aroma of sweet citrus, ripe fruit and pine. These small yet dense buds are hang dried and well cured. We fill each pouch by hand to ensure you only get the best buds. We use nitrogen and a humidity pack to ensure a fresh and terpene-rich experience when you open your bag. Berry Smasher is not irradiated.",,"Beta-Caryophyllene, Beta-Myrcene, Germacrene, Limonene, Myrcene","Dried Flower","[33 Splitter](https://ocs.ca/products/33-splitter-true-fire-co-ltd)"
282,"2023-12-30","Dried Flower","Naked Mummer","Cactus Breath",,,"https://ocs.ca/products/cactus-breath-naked-mummer-cactus-breath",27,0.5,,,,24,30,0,1,"Indoor",,"St. John's","St. John's",47.5614705,-52.7126162,"Cactus Breath","Sativa Dominant","Very Strong","Naked Mummer","Atlantic Cultivation Limited","Cactus Breath features large, crystalline flowers with dark green and purple hues and distinct orange pistils. Unparalleled trichome presence makes this flower an exceptional candidate for solventless extraction techniques. Fresh herbal aroma with undertones of gas and spice. Noteworthy terpene profile is dominated by terpinolene and supported by caryophyllene, farnesene and myrcene. Sativa-dominant hybrid bred by ThugPug Genetics, a cross between Cactus x Mendo Breath 2. This cultivar is unique to Atlantic Cultivation, pheno-hunted by our founder. Grown in our indoor, purpose-built facility under HPS lighting using Athena nutrients in our hydroponic system. After a one-week flush, whole plants are harvested by hand and hung to dry for 2 weeks. Flower is then cured, hand trimmed and hand packaged.",,"Beta-Myrcene, Farnasene, Terpinolene, Trans-Beta-Caryophyllene, Trans-Caryophyllene","Dried Flower","[Purple Balance Pre-Roll](https://ocs.ca/products/purple-balance-pre-rolls-pinnrz)"
283,"2023-12-30","Dried Flower","Naked Mummer","Cake Crasher",10.67,"g","https://ocs.ca/products/cake-crasher-naked-mummer-cake-crasher",29,0.5,74.69,"In stock online",878310002324,26,32,0,1,"Indoor",,"St. John's","St. John's",47.5614705,-52.7126162,"Cake Crasher","Indica Dominant","Very Strong","Naked Mummer","Atlantic Cultivation Limited","A heavy coating of trichomes mutes the dark green and purple undertones of these large, sticky flowers. Cake Crasher offers a unique terpene experience dominated by eucalyptol and supported by caryophyllene, pinene and humulene. These terpenes combined create a fresh, invigorating aroma of minty pine, with notes of spice and diesel. This high-THC indica-dominant hybrid was bred by Seed Junky Genetics and is a cross between Wedding Cake x Wedding Crasher. This cultivar is unique to Atlantic Cultivation, pheno-hunted by our founder. Grown in our indoor, purpose-built facility under HPS lighting using Athena nutrients in our hydroponic system. After a one-week flush, whole plants are harvested by hand and hung to dry for 2 weeks. Flower is then cured, hand trimmed and hand packaged.",,"Alpha-Pinene, Beta-Caryophyllene, Beta-Pinene, Eucalyptol, Humulene","Dried Flower","[HHH Pre-Roll](https://ocs.ca/products/hhh-pre-roll-the-bc-bud-co)"
286,"2023-12-30","Dried Flower","Next Friday","Dank Sinatra",12.43,"g","https://ocs.ca/products/dank-sinatra-next-friday",26.5,0.5,43.5,"In stock online",814434000273,23,30,0,1,"Indoor",,"Drayton Valley","Drayton Valley",53.2205548,-114.9832127,,"Indica Dominant","Very Strong","Next Friday","NOBLE GROWTH ALBERTA LIMITED PARTNERSHIP","A Next Friday exclusive phenotype, Dank Sinatra is a cross of LA Affie and Hashplant. This cultivar is an indica-dominant hybrid renowned for its signature spicy, gas-like and earthy aromas. The earthy aroma is defined by its sharp, distinct hash-like notes from its Hashplant lineage. The strain boasts intense gas and diesel notes that complement the sweet, cookie funk undertones of its predecessor, LA Affie.",,"Alpha-Humulene, Beta-Myrcene, Farnasene, Limonene, Trans-Caryophyllene","Dried Flower","[Pineapple Nuken](https://ocs.ca/products/pineaple-nuken-divvy)"
287,"2023-12-30","Dried Flower","Next Friday","Research Institute",13.51,"g","https://ocs.ca/products/research-institute-next-friday-mutant-tire-fire",29.5,1,47.29,"In stock online",814434000358,27,32,0,2,"Indoor",,"Rocky Mountains","Salmon Arm",50.7005059,-119.2790529,"Mutant Tire Fire","Hybrid","Very Strong","Next Friday","NOBLE GROWTH ALBERTA LIMITED PARTNERSHIP","Brought to you through years of scouring the North American legacy market, now housed in our onsite tissue culture lab. Next Friday's going to bring exclusive and quality cultivars to market through Next Friday Research Institute. NFRI is dedicated to bringing one-of-a-kind cultivars to market, pushing boundaries in the cultivation space and continuing to bring the consumer a full spectrum experience. We have found consumers want the options that a rotating SKU can offer but don't like the fact that most rotating SKUs are being procured from different producers and facility types with varying grow methods. Our master growers love what they do and only the best phenotypes will be selected. Always grown, cured, packaged and shipped by the Next Friday team. We reserve the absolute best of our genetic stock for NFRI. The first cultivar being offered is our Mutant Tire Fire (GMO x Sherb Crasher). This cultivar was bred by SeedJunky Genetics and is a funky gas heavyweight.",,"Alpha-Humulene, Beta-Myrcene, Farnasene, Limonene, Trans-Caryophyllene","Dried Flower","[Banjo-GPS](https://ocs.ca/products/grandpas-stash-ouest)"
289,"2023-12-30","Dried Flower","Nugz","Early Lemon Berry",6.29,"g","https://ocs.ca/products/early-lemon-berry-nugz-early-lemon-berry",24,1,6.29,,628124835010,20,28,0,2,"Indoor",,"Farnham & Valleyfield QC","Farnham",45.2831,-72.974968,"Early Lemon Berry","Sativa Dominant","Very Strong","Nugz","Cannara Biotech (Quebec) Inc.","Early Lemon Berry is any sativa-lovers dream! Dense buds, dripping with citrus resin, covered in glistening trichome heads. Crack a flower in half and it’ll smell like a mix of sweet lemons, grapefruit and sugary sweet berries. The flavour is quite similar to the smell, but the taste on the exhale is what earned its popularity. The aroma produced by these flowers is strong, but not pungent. Expect medium to large buds covered in trichomes.",,"Caryophyllene, Farnasene, Humulene, Limonene, Linalool","Dried Flower","[Blackberry Gelato Pre-Rolls](https://ocs.ca/products/blackberry-gelato-pre-rolls-wildlife)"
290,"2023-12-30","Dried Flower","Nugz","Slapz",,,"https://ocs.ca/products/slapz-nugz",24.25,0.5,,,,20.5,28,0,1,"Indoor",,"Farnham & Valleyfield QC","Farnham",45.2831,-72.974968,,"Indica Dominant","Very Strong","Nugz","Cannara Biotech (Quebec) Inc.","Slapz, a powerful new indica strain from Nugz! Open the bag, Slapz! Right from the first inhale you can tell this is a powerhouse. The parent strains (Runtz x Grease Monkey) make Slapz an indica-dominant hybrid with a bite! Take a puff, Slapz! The flavours of Diesel, backed by hints of fruit and pepper linger on your tongue while the effects go to work immediately on you. Nugz Slapz is hang-dried, slow cured in curing barrels, and hand trimmed for final packaging in an air-tight pouch for ultimate freshness.",,,"Dried Flower","[Reserva Privada OG18](https://ocs.ca/products/reserva-privada-og18-strain-rec)"
291,"2023-12-30","Dried Flower","Nugz","Smalls",,,"https://ocs.ca/products/smalls-nugz",24,0.5,,,,21,27,0,1,"Indoor",,"Farnham & Valleyfield QC","Farnham",45.2831,-72.974968,,"Blend","Very Strong","Nugz","Cannara Biotech (Quebec) Inc.","Drawn from our genetic library of exotic strains from both Tribal and Nugz, Smalls is an opportunity for bulk consumers to access Cannara's premium quality flowers at value. All the same terp-y goodness you've come to expect from Tribal & Nugz, Now more economical! Same batches as what you'd find in our other offerings, but sorted for smaller buds in order to provide even more ecomony. Small, but mighty buds with big bag appeal thanks to the frosty trichomes, excellent moisture content, high THC percentages and terpene percentages between 2 - 5%. Grind and shine!",,,"Dried Flower","[Royal Collection Redees Pre-Roll (King Pack)](https://ocs.ca/products/royal-collection-redees-pre-roll-king-pack-redecan)"
299,"2023-12-30","Dried Flower","Palmetto","Kush Garden",,,"https://ocs.ca/products/kush-garden-palmetto",23,0.5,,,,20,26,0,1,"Indoor",,,,,,,"Blend","Very Strong","Palmetto","Valens Agritech Ltd.","There’s no tip-toeing through tulips in this garden. Stomp your way to Kush Garden, a perfect pre-ground mix of freshly milled spicy, woodsy and diesel-filled Kush strains that celebrate everything you love about Kush. This potent blend is not only ready to roll, but jam-packed with woodsy and earthy flavours and aromas. Kush Garden is made with milled whole flower, no shake or trim, and is available in our signature orange reusable jar with a humidity pack included. Palmetto is grown by cannabis lovers for cannabis lovers, found somewhere deep in the mystic shadows of the majestic Rocky Mountains of Alberta.",,,"Dried Flower","[All Flower (3CT) FPOG Pre-Roll](https://ocs.ca/products/all-flower-3ct-fpog-pre-roll-greybeard)"
300,"2023-12-30","Dried Flower","Palmetto","Fruit Salad",,,"https://ocs.ca/products/fruit-salad-palmetto-fruit-salad",23,1,,,,20,26,1,1,"Indoor",,"Olds, Alberta","Olds",51.7923735,-114.1130367,"Fruit Salad","Blend","Very Strong","Palmetto","Valens Agritech Ltd.","Arguably the most underrated part of brunch, Fruit Salad is the ultimate way to freshen any session. A perfect pre-ground mix of freshly milled tropical, berry and juicy strains makes this not only convenient and ready to roll, but bursting with fruity flavours and aromas. Our fruit blend is made with milled whole flower, no shake or trim and is available in our signature orange reusable jar with humidity pack included. Palmetto is grown by cannabis lovers for cannabis lovers, found somewhere deep in the mystic shadows of the majestic Rocky Mountains of Alberta.",,"Alpha-Bisabolol, Caryophyllene, Humulene, Limonene, Linalool","Dried Flower","[Pink Cookies](https://ocs.ca/products/pink-cookies-big-bag-o-buds)"
303,"2023-12-30","Dried Flower","Parcel","Citrus Notes Milled Flower",4.01,"g","https://ocs.ca/products/citrus-notes-milled-flower-parcel",23,0.5,28.07,"In stock online",628186000234,20,26,0,1,"Greenhouse",,,,,,,"Hybrid","Very Strong","Parcel","AUXLY OTTAWA INC","Citrus Notes Milled flower is a hybrid dominant blend that provides a citrusy refreshing taste and aroma.",,,"Dried Flower","[Kush Mints](https://ocs.ca/products/kush-mints-tweed)"
304,"2023-12-30","Dried Flower","Parcel","Sweet Notes Milled Flower",4.01,"g","https://ocs.ca/products/sweet-notes-milled-flower-parcel",21,0,28.07,"In stock online",628186000210,18,24,0,0,"Greenhouse",,,,,,,"Hybrid","Very Strong","Parcel","AUXLY OTTAWA INC","Sweet Notes Milled flower is an indica-dominant blend, with hints of caryophyllene, terpinolene and myrcene, providing a fruit forward candy-like sweetness.",,,"Dried Flower","[Elios Reserve Dark Shadow Haze](https://ocs.ca/products/elios-reserve-dark-shadow-haze-elios-reserve)"
305,"2023-12-30","Dried Flower","Parcel","Sweet Notes",4.09,"g","https://ocs.ca/products/sweet-notes-parcel-sundae-driver",23,0.5,57.26,"In stock online",628186000227,20,26,0,1,"Greenhouse",,,,,,"Sundae Driver","Hybrid","Very Strong","Parcel","AUXLY OTTAWA INC","Sweet Notes is a hybrid blend, with hints of caryophyllene, terpinolene and myrcene, providing a fruit forward candy-like sweetness.",,,"Dried Flower","[Bush League Sour Kush Milled Flower](https://ocs.ca/products/bush-league-sour-kush-milled-flower-back-forty)"
306,"2023-12-30","Dried Flower","Parcel","Sweet Notes",5.36,"g","https://ocs.ca/products/sweet-notes-parcel-mandarin-cookies",23,0.5,18.76,"In stock online",628186000203,20,26,0,1,"Greenhouse",,"Leamington","Leamington",42.0531166,-82.5996998,"Mandarin Cookies","Hybrid","Very Strong","Parcel","AUXLY OTTAWA INC","Sweet Notes is a hybrid blend, with hints of caryophyllene, terpinolene, and myrcene, providing a fruit forward candy-like sweetness. Parcel Delivers.",,"Beta-Caryophyllene, Bisabolol, Myrcene, Pinene, Terpinolene","Dried Flower","[Berry Smasher](https://ocs.ca/products/berry-smasher-muskoka-grown)"
311,"2023-12-30","Dried Flower","Potluck","Mac and Cheese",5.5,"g","https://ocs.ca/products/mac-and-cheese-potluck-mac-cheese",25,1.005,38.5,"In stock online",676338003046,22,28,0.01,2,"Indoor",,"Southwestern Ontario",,,,"Mac & Cheese","Sativa Dominant","Very Strong","Potluck","Sensi Brands Ltd.","Canada's classic comfort meal. This sativa dominant flower is named for its creamy cheese flavour with hints of citrus followed by a smooth and sweet aroma. Just one of four new strains inspired by classic Canadian flavours. Mix and match your stash and sample a little bit of everything without breaking the bank. Experience a boutique strain with all the terpene-rich cannabis taste. Packed with a humidity device to extend freshness.",,"Alpha-Pinene, Beta-Caryophyllene, Farnasene, Myrcene, Terpinolene","Dried Flower","[Mango Haze Pre-Roll](https://ocs.ca/products/mango-haze-pre-roll-color-cannabis)"
312,"2023-12-30","Dried Flower","Potluck","Maple Pancakes",5.5,"g","https://ocs.ca/products/maple-pancakes-potluck-maple-pancakes",23,1.005,38.5,"In stock online",676338003053,20,26,0.01,2,"Indoor",,"Southwestern Ontario",,,,"Maple Pancakes","Sativa Dominant","Very Strong","Potluck","Sensi Brands Ltd.","What's more Canadian than Maple Pancakes? Bring on the classic Canuck flavours of this sativa dominant flower named for its delicious buttery and maple syrup aromas paired with sweet berries and pancake batter. Just one of four new strains inspired by classic Canadian flavours. Mix and match your stash and sample a little bit of everything without breaking the bank. Experience a boutique strain with all the terpene-rich cannabis taste. Packed with a humidity device to extend freshness.",,"Beta-Caryophyllene, Limonene, Linalool, Myrcene, Ocimene","Dried Flower","[B. Banner Pre-Roll](https://ocs.ca/products/b-banner-pre-roll-argentia-gold)"
